party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
FRENTE ESPERANZA ,203103.0,1.32,1.08,,TODOS,TODOS,TODOS,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,,TODOS,TODOS,TODOS,TODOS
FUERZA POPULAR ,6115073.0,39.86,32.64,,TODOS,TODOS,TODOS,TODOS
ALIANZA POPULAR ,894278.0,5.83,4.77,,TODOS,TODOS,TODOS,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,,TODOS,TODOS,TODOS,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",2874940.0,18.74,15.35,,TODOS,TODOS,TODOS,TODOS
ACCION POPULAR ,1069360.0,6.97,5.71,,TODOS,TODOS,TODOS,TODOS
DEMOCRACIA DIRECTA ,613173.0,4.0,3.27,,TODOS,TODOS,TODOS,TODOS
PERU POSIBLE ,200012.0,1.3,1.07,,TODOS,TODOS,TODOS,TODOS
PERU NACION *,0.0,0.0,0.0,,TODOS,TODOS,TODOS,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,,TODOS,TODOS,TODOS,TODOS
PROGRESANDO PERU ,75870.0,0.49,0.4,,TODOS,TODOS,TODOS,TODOS
PARTIDO POLITICO ORDEN ,65673.0,0.43,0.35,,TODOS,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,3228661.0,21.05,17.23,,TODOS,TODOS,TODOS,TODOS
FRENTE ESPERANZA ,196351.0,1.3,1.08,P,PERÚ,TODOS,TODOS,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,P,PERÚ,TODOS,TODOS,TODOS
FUERZA POPULAR ,6001722.0,39.81,32.86,P,PERÚ,TODOS,TODOS,TODOS
ALIANZA POPULAR ,881217.0,5.85,4.83,P,PERÚ,TODOS,TODOS,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,P,PERÚ,TODOS,TODOS,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",2841237.0,18.85,15.56,P,PERÚ,TODOS,TODOS,TODOS
ACCION POPULAR ,1042583.0,6.92,5.71,P,PERÚ,TODOS,TODOS,TODOS
DEMOCRACIA DIRECTA ,611599.0,4.06,3.35,P,PERÚ,TODOS,TODOS,TODOS
PERU POSIBLE ,197852.0,1.31,1.08,P,PERÚ,TODOS,TODOS,TODOS
PERU NACION *,0.0,0.0,0.0,P,PERÚ,TODOS,TODOS,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,P,PERÚ,TODOS,TODOS,TODOS
PROGRESANDO PERU ,74740.0,0.5,0.41,P,PERÚ,TODOS,TODOS,TODOS
PARTIDO POLITICO ORDEN ,64841.0,0.43,0.36,P,PERÚ,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,3163657.0,20.99,17.32,P,PERÚ,TODOS,TODOS,TODOS
FRENTE ESPERANZA ,196351.0,1.3,1.08,,PERÚ,TODOS,TODOS,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,,PERÚ,TODOS,TODOS,TODOS
FUERZA POPULAR ,6001722.0,39.81,32.86,,PERÚ,TODOS,TODOS,TODOS
ALIANZA POPULAR ,881217.0,5.85,4.83,,PERÚ,TODOS,TODOS,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,,PERÚ,TODOS,TODOS,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",2841237.0,18.85,15.56,,PERÚ,TODOS,TODOS,TODOS
ACCION POPULAR ,1042583.0,6.92,5.71,,PERÚ,TODOS,TODOS,TODOS
DEMOCRACIA DIRECTA ,611599.0,4.06,3.35,,PERÚ,TODOS,TODOS,TODOS
PERU POSIBLE ,197852.0,1.31,1.08,,PERÚ,TODOS,TODOS,TODOS
PERU NACION *,0.0,0.0,0.0,,PERÚ,TODOS,TODOS,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,,PERÚ,TODOS,TODOS,TODOS
PROGRESANDO PERU ,74740.0,0.5,0.41,,PERÚ,TODOS,TODOS,TODOS
PARTIDO POLITICO ORDEN ,64841.0,0.43,0.36,,PERÚ,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,3163657.0,20.99,17.32,,PERÚ,TODOS,TODOS,TODOS
FRENTE ESPERANZA ,1043.0,0.73,0.54,010000,PERÚ,AMAZONAS,TODOS,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
FUERZA POPULAR ,62083.0,43.37,32.08,010000,PERÚ,AMAZONAS,TODOS,TODOS
ALIANZA POPULAR ,5175.0,3.61,2.67,010000,PERÚ,AMAZONAS,TODOS,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",31681.0,22.13,16.37,010000,PERÚ,AMAZONAS,TODOS,TODOS
ACCION POPULAR ,8166.0,5.7,4.22,010000,PERÚ,AMAZONAS,TODOS,TODOS
DEMOCRACIA DIRECTA ,13590.0,9.49,7.02,010000,PERÚ,AMAZONAS,TODOS,TODOS
PERU POSIBLE ,1635.0,1.14,0.84,010000,PERÚ,AMAZONAS,TODOS,TODOS
PERU NACION *,0.0,0.0,0.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
PROGRESANDO PERU ,2584.0,1.8,1.34,010000,PERÚ,AMAZONAS,TODOS,TODOS
PARTIDO POLITICO ORDEN ,177.0,0.12,0.09,010000,PERÚ,AMAZONAS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,17026.0,11.89,8.8,010000,PERÚ,AMAZONAS,TODOS,TODOS
FRENTE ESPERANZA ,1043.0,0.73,0.54,,PERÚ,AMAZONAS,TODOS,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,,PERÚ,AMAZONAS,TODOS,TODOS
FUERZA POPULAR ,62083.0,43.37,32.08,,PERÚ,AMAZONAS,TODOS,TODOS
ALIANZA POPULAR ,5175.0,3.61,2.67,,PERÚ,AMAZONAS,TODOS,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,,PERÚ,AMAZONAS,TODOS,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",31681.0,22.13,16.37,,PERÚ,AMAZONAS,TODOS,TODOS
ACCION POPULAR ,8166.0,5.7,4.22,,PERÚ,AMAZONAS,TODOS,TODOS
DEMOCRACIA DIRECTA ,13590.0,9.49,7.02,,PERÚ,AMAZONAS,TODOS,TODOS
PERU POSIBLE ,1635.0,1.14,0.84,,PERÚ,AMAZONAS,TODOS,TODOS
PERU NACION *,0.0,0.0,0.0,,PERÚ,AMAZONAS,TODOS,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,,PERÚ,AMAZONAS,TODOS,TODOS
PROGRESANDO PERU ,2584.0,1.8,1.34,,PERÚ,AMAZONAS,TODOS,TODOS
PARTIDO POLITICO ORDEN ,177.0,0.12,0.09,,PERÚ,AMAZONAS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,17026.0,11.89,8.8,,PERÚ,AMAZONAS,TODOS,TODOS
FRENTE ESPERANZA ,176.0,0.61,0.45,010200,PERÚ,AMAZONAS,BAGUA,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
FUERZA POPULAR ,11452.0,39.57,29.6,010200,PERÚ,AMAZONAS,BAGUA,TODOS
ALIANZA POPULAR ,1036.0,3.58,2.68,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",7945.0,27.46,20.54,010200,PERÚ,AMAZONAS,BAGUA,TODOS
ACCION POPULAR ,1502.0,5.19,3.88,010200,PERÚ,AMAZONAS,BAGUA,TODOS
DEMOCRACIA DIRECTA ,2133.0,7.37,5.51,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PERU POSIBLE ,400.0,1.38,1.03,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PERU NACION *,0.0,0.0,0.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
