party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PERUANOS POR EL KAMBIO ,8596937.0,50.12,46.868,,TODOS,TODOS,TODOS,TODOS
FUERZA POPULAR ,8555880.0,49.88,46.644,,TODOS,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,8418681.0,50.103,46.892,P,PERÚ,TODOS,TODOS,TODOS
FUERZA POPULAR ,8384197.0,49.897,46.7,P,PERÚ,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,8418681.0,50.103,46.892,,PERÚ,TODOS,TODOS,TODOS
FUERZA POPULAR ,8384197.0,49.897,46.7,,PERÚ,TODOS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,78899.0,47.522,43.216,010000,PERÚ,AMAZONAS,TODOS,TODOS
FUERZA POPULAR ,87128.0,52.478,47.723,010000,PERÚ,AMAZONAS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,78899.0,47.522,43.216,,PERÚ,AMAZONAS,TODOS,TODOS
FUERZA POPULAR ,87128.0,52.478,47.723,,PERÚ,AMAZONAS,TODOS,TODOS
PERUANOS POR EL KAMBIO ,17490.0,53.135,48.127,010200,PERÚ,AMAZONAS,BAGUA,TODOS
FUERZA POPULAR ,15426.0,46.865,42.448,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PERUANOS POR EL KAMBIO ,1823.0,37.242,34.222,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
FUERZA POPULAR ,3072.0,62.758,57.668,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PERUANOS POR EL KAMBIO ,4949.0,46.003,41.314,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
FUERZA POPULAR ,5809.0,53.997,48.493,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PERUANOS POR EL KAMBIO ,1490.0,53.006,49.601,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
FUERZA POPULAR ,1321.0,46.994,43.975,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PERUANOS POR EL KAMBIO ,604.0,60.159,58.077,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
FUERZA POPULAR ,400.0,39.841,38.462,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PERUANOS POR EL KAMBIO ,6282.0,75.315,65.815,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
FUERZA POPULAR ,2059.0,24.685,21.572,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PERUANOS POR EL KAMBIO ,2342.0,45.859,43.004,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
FUERZA POPULAR ,2765.0,54.141,50.771,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PERUANOS POR EL KAMBIO ,5128.0,39.19,36.503,010300,PERÚ,AMAZONAS,BONGARA,TODOS
FUERZA POPULAR ,7957.0,60.81,56.642,010300,PERÚ,AMAZONAS,BONGARA,TODOS
