vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,15340143.0,81.88,,TODOS,TODOS,TODOS,TODOS
VOTOS EN BLANCO,2225449.0,11.88,,TODOS,TODOS,TODOS,TODOS
VOTOS NULOS,1168538.0,6.24,,TODOS,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,18734130.0,100.0,,TODOS,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,15075799.0,82.55,P,PERÚ,TODOS,TODOS,TODOS
VOTOS EN BLANCO,2165079.0,11.86,P,PERÚ,TODOS,TODOS,TODOS
VOTOS NULOS,1021225.0,5.59,P,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,18262103.0,100.0,P,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,15075799.0,82.55,,PERÚ,TODOS,TODOS,TODOS
VOTOS EN BLANCO,2165079.0,11.86,,PERÚ,TODOS,TODOS,TODOS
VOTOS NULOS,1021225.0,5.59,,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,18262103.0,100.0,,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,143160.0,73.96,010000,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS EN BLANCO,38209.0,19.74,010000,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS NULOS,12183.0,6.29,010000,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,193552.0,100.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,143160.0,73.96,,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS EN BLANCO,38209.0,19.74,,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS NULOS,12183.0,6.29,,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,193552.0,100.0,,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,28938.0,74.81,010200,PERÚ,AMAZONAS,BAGUA,TODOS
VOTOS EN BLANCO,6976.0,18.03,010200,PERÚ,AMAZONAS,BAGUA,TODOS
VOTOS NULOS,2769.0,7.16,010200,PERÚ,AMAZONAS,BAGUA,TODOS
TOTAL DE VOTOS EMITIDOS,38683.0,100.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
TOTAL DE VOTOS VÁLIDOS,3920.0,68.65,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
VOTOS EN BLANCO,1076.0,18.84,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
VOTOS NULOS,714.0,12.5,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
TOTAL DE VOTOS EMITIDOS,5710.0,100.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
TOTAL DE VOTOS VÁLIDOS,10452.0,82.46,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
VOTOS EN BLANCO,1594.0,12.58,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
VOTOS NULOS,629.0,4.96,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
TOTAL DE VOTOS EMITIDOS,12675.0,100.0,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
TOTAL DE VOTOS VÁLIDOS,2408.0,77.2,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
VOTOS EN BLANCO,544.0,17.44,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
VOTOS NULOS,167.0,5.35,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
