vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,17152817.0,93.512,,TODOS,TODOS,TODOS,TODOS
VOTOS EN BLANCO,149577.0,0.815,,TODOS,TODOS,TODOS,TODOS
VOTOS NULOS,1040502.0,5.673,,TODOS,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,18342896.0,100.0,,TODOS,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,16802878.0,93.592,P,PERÚ,TODOS,TODOS,TODOS
VOTOS EN BLANCO,147185.0,0.82,P,PERÚ,TODOS,TODOS,TODOS
VOTOS NULOS,1003304.0,5.588,P,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,17953367.0,100.0,P,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,16802878.0,93.592,,PERÚ,TODOS,TODOS,TODOS
VOTOS EN BLANCO,147185.0,0.82,,PERÚ,TODOS,TODOS,TODOS
VOTOS NULOS,1003304.0,5.588,,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,17953367.0,100.0,,PERÚ,TODOS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,166027.0,90.939,010000,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS EN BLANCO,2089.0,1.144,010000,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS NULOS,14454.0,7.917,010000,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,182570.0,100.0,010000,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,166027.0,90.939,,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS EN BLANCO,2089.0,1.144,,PERÚ,AMAZONAS,TODOS,TODOS
VOTOS NULOS,14454.0,7.917,,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS EMITIDOS,182570.0,100.0,,PERÚ,AMAZONAS,TODOS,TODOS
TOTAL DE VOTOS VÁLIDOS,32916.0,90.575,010200,PERÚ,AMAZONAS,BAGUA,TODOS
VOTOS EN BLANCO,335.0,0.922,010200,PERÚ,AMAZONAS,BAGUA,TODOS
VOTOS NULOS,3090.0,8.503,010200,PERÚ,AMAZONAS,BAGUA,TODOS
TOTAL DE VOTOS EMITIDOS,36341.0,100.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
TOTAL DE VOTOS VÁLIDOS,4895.0,91.89,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
VOTOS EN BLANCO,49.0,0.92,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
VOTOS NULOS,383.0,7.19,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
TOTAL DE VOTOS EMITIDOS,5327.0,100.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
